instrument,sum_impact_mean,sum_impact_std,sum_impact_sum,mean_impact_mean,mean_impact_std,positive_frac_mean,innovation_abs_mean_mean,innovation_rms_mean,gradient_abs_mean_mean,gradient_rms_mean,alignment_cosine_mean,alignment_frac_mean
aircraft,2.3446199686732143,5.98590818507406,300.11135599017143,5.040849360415933e-05,0.00012842835190128742,0.058564436505548656,0.4900404065847397,0.7200125753879547,0.0006395799003939828,0.007111043209533818,0.010615667818683505,0.058564436505548656
amsua,-27.79650750895962,50.69410670264937,-3557.9529611468315,-6.1770016917026e-05,0.00011265357117970334,0.004646388910259702,1.0798301696777344,1.3525618314743042,0.0003511274136371867,0.009804574284316914,-0.003669718512867348,0.004646388910259702
ascat,2.162566066836007,15.330420739936041,276.8084565550089,3.8322685943170676e-05,0.0002754677476281893,0.004598357705617673,1.2869969606399536,1.4947006106376648,0.0004248401858717443,0.011051648183638463,0.002838613748537,0.004598357705617673
atms,-2.8107760690618306,33.38276813216297,-359.7793368399143,-2.555250949276555e-06,3.034797117129666e-05,0.004619225850547082,0.985072910785675,1.2524962425231934,0.00015438493671382503,0.004469968839998728,0.0002887045571355884,0.004619225850547082
avhrr,-0.3251762619402143,0.9516635325212315,-41.62256152834743,-3.61306954390489e-06,1.0574039236726655e-05,0.0019826388843284803,0.9838775098323822,1.3020802736282349,9.115794543879119e-06,0.0005634532635170331,-0.0038914819480240226,0.0019826388843284803
radiosonde,-15.506759126612451,30.724943964061918,-1984.8651682063937,-0.0017013257514104652,0.0033674428333475303,0.11262565647484735,1.2816383838653564,1.5317932963371277,0.006946305188648694,0.04234529534369358,-0.013169969785963076,0.11262565647484735
seviri,-2.2912407421390526,3.2010259623921202,-293.27881499379873,-4.7734182085784616e-06,6.668804067258881e-06,0.0028198567579238443,0.3539053350687027,0.5266655534505844,0.00013182212859241815,0.004179968134621959,-0.002598949774576198,0.0028198567579238443
ssmis,-18.54374350933358,26.61222402834011,-2373.5991691946983,-2.575519941905302e-05,3.696142251877097e-05,0.004625390622095438,1.1464717388153076,1.4670692682266235,0.0002640760511951612,0.007670972510823049,-0.001862988110048036,0.004625390622095438
surface_obs,-16.614004083210602,40.562381793579824,-2126.592522650957,-0.00035098430972269057,0.0008569904821454447,0.03880668595957104,0.9300658404827118,1.2028176188468933,0.0025883942385007686,0.029253106364194537,-0.009000901180002074,0.03880668595957104
